Id,videoView,totalVideoView,percent,time
不等式与不等式组的引入,281,23500,0.09616700889801506,5
有理数的引入,338,23500,0.11567419575633128,5
一次函数的引入,405,23500,0.13860369609856263,5
不等式与不等关系,191,23500,0.06536618754277893,5
一元一次不等式,241,23500,0.08247775496235456,5
相交线与平行线的引入,492,23500,0.16837782340862423,5
二元一次方程组的引入,379,23500,0.1297056810403833,5
函数的概念,219,23500,0.07494866529774127,5
函数的解析式,207,23500,0.07084188911704312,5
正比例函数的概念,169,23500,0.05783709787816564,5
不等式与不等式组的引入,679,46077,0.12597402597402596,6
有理数的引入,1028,46077,0.19072356215213357,6
一次函数的引入,761,46077,0.1411873840445269,6
不等式与不等关系,348,46077,0.06456400742115027,6
一元一次不等式,193,46077,0.03580705009276438,6
相交线与平行线的引入,903,46077,0.16753246753246753,6
二元一次方程组的引入,570,46077,0.10575139146567718,6
函数的概念,368,46077,0.06827458256029685,6
函数的解析式,299,46077,0.05547309833024119,6
正比例函数的概念,241,46077,0.04471243042671614,6
不等式与不等式组的引入,3616,153138,0.16156561369018363,7
有理数的引入,2820,153138,0.125999731915464,7
一次函数的引入,2822,153138,0.1260890934274608,7
不等式与不等关系,2184,153138,0.09758277110048702,7
一元一次不等式,869,153138,0.03882757696260221,7
相交线与平行线的引入,2334,153138,0.10428488450024574,7
二元一次方程组的引入,3218,153138,0.14378267280282384,7
函数的概念,1809,153138,0.08082748760109021,7
函数的解析式,1181,153138,0.052767972834100355,7
正比例函数的概念,1528,153138,0.0682721951655422,7
不等式与不等式组的引入,2913,198615,0.12481789356414431,8
有理数的引入,2221,198615,0.09516668094952438,8
一次函数的引入,3593,198615,0.15395492330105406,8
不等式与不等关系,2448,198615,0.10489330705287514,8
一元一次不等式,1194,198615,0.05116119633216214,8
相交线与平行线的引入,1932,198615,0.08278344331133773,8
二元一次方程组的引入,1474,198615,0.06315879681206615,8
函数的概念,2352,198615,0.10077984403119376,8
函数的解析式,2991,198615,0.12816008226926043,8
正比例函数的概念,2220,198615,0.09512383237638186,8
不等式与不等式组的引入,880,91840,0.10463733650416171,9
有理数的引入,1912,91840,0.22734839476813318,9
一次函数的引入,857,91840,0.1019024970273484,9
不等式与不等关系,726,91840,0.08632580261593341,9
一元一次不等式,707,91840,0.0840665873959572,9
相交线与平行线的引入,770,91840,0.09155766944114149,9
二元一次方程组的引入,449,91840,0.05338882282996433,9
函数的概念,615,91840,0.07312722948870393,9
函数的解析式,680,91840,0.08085612366230678,9
正比例函数的概念,814,91840,0.09678953626634959,9
不等式与不等式组的引入,828,57276,0.1398176291793313,10
有理数的引入,554,57276,0.09354947652819993,10
一次函数的引入,702,57276,0.11854103343465046,10
不等式与不等关系,728,57276,0.12293144208037825,10
一元一次不等式,582,57276,0.09827760891590678,10
相交线与平行线的引入,381,57276,0.06433637284701114,10
二元一次方程组的引入,462,57276,0.07801418439716312,10
函数的概念,486,57276,0.08206686930091185,10
函数的解析式,470,57276,0.07936507936507936,10
正比例函数的概念,729,57276,0.12310030395136778,10
不等式与不等式组的引入,748,60135,0.13487197980526505,11
有理数的引入,540,60135,0.09736747205192932,11
一次函数的引入,599,60135,0.10800576992426975,11
不等式与不等关系,646,60135,0.11648034619545619,11
一元一次不等式,600,60135,0.10818608005769924,11
相交线与平行线的引入,399,60135,0.07194374323837,11
二元一次方程组的引入,462,60135,0.08330328164442842,11
函数的概念,468,60135,0.0843851424450054,11
函数的解析式,449,60135,0.08095924990984493,11
正比例函数的概念,635,60135,0.1144969347277317,11
不等式与不等式组的引入,754,63234,0.13300405715293703,12
有理数的引入,551,63234,0.09719527253483859,12
一次函数的引入,646,63234,0.11395307814429352,12
不等式与不等关系,664,63234,0.11712824131240078,12
一元一次不等式,672,63234,0.11853942494267067,12
相交线与平行线的引入,402,63234,0.07091197742106192,12
二元一次方程组的引入,461,63234,0.08131945669430235,12
函数的概念,462,63234,0.08149585464808608,12
函数的解析式,463,63234,0.08167225260186982,12
正比例函数的概念,594,63234,0.10478038454753925,12
不等式与不等式组的引入,621,48358,0.1301613917417732,13
有理数的引入,629,48358,0.1318381890588975,13
一次函数的引入,610,48358,0.1278557954307273,13
不等式与不等关系,498,48358,0.10438063299098721,13
一元一次不等式,448,48358,0.09390064975896038,13
相交线与平行线的引入,472,48358,0.09893104171033326,13
二元一次方程组的引入,418,48358,0.08761265981974428,13
函数的概念,394,48358,0.08258226786837142,13
函数的解析式,332,48358,0.06958708866065814,13
正比例函数的概念,349,48358,0.07315028295954726,13
不等式与不等式组的引入,1186,95617,0.12647968433400875,14
